"id","qid1","qid2","question1","question2","is_duplicate"
756,1513,1514,"How can I calculate 72 hours from now?","How do I calculate a semester percentage from SGPA in ITER?","0"
757,1515,1516,"How hard was it for Jimmy Wales to immigrate to the UK?","Why does Jimmy Wales choose to reside in London instead of the US?","0"
758,1517,1518,"Cochin to London etihad is the change over time of 1hr sufficient in Dubai?","What is difference between China and the United States to send gifts?","0"
759,1519,1520,"What is Quora's algorithm for sorting answers to a single question?","How does the ranking of answers on Quora work?","0"
760,1521,1522,"What will be the resolution one should have for the year 2016?","What's your resolution for year 2016?","1"
761,1523,1524,"What are Balaji Viswanathan's views on caste based reservations in India?","What is Balaji Vishwanathan's view on caste based reservation system in India?","1"
762,1525,1526,"Jawed habib haircut prices?","DO YOU THINK IF MY TREE FALLS ON YOUR PROPERTY IT SHOULD BE MYINE OR YOUR RESPONSABILITY?","0"
763,1527,1528,"Does any one have ebook of answers of wren and Martin grammer and composition?","Why did barvaria join Germany?","0"
764,1529,1530,"What is [math]x[/math] if [math]x+\left(\dfrac{1}{x}\right) =0[/math]?","What is [math]\mathop {\lim}\limits_{x \to 0^+}\frac{1}{x}^\frac{-x}{x+1}[/math]?","0"
765,1531,1532,"Whenever its about “her” its a very special feeling. Tried hard to forget her but she's alwys spcl. Should I stop talking to her even as a friend ?","How should I stop thinking about someone?","0"
766,1533,1534,"What are Mutual funds? How do they work?","What is mutual fund all about?","1"
767,1535,1536,"How has the vertebral column anatomy changed through time?","When calculating bullet spin; MV X 12 (twist rate in inches) X 60=RPM, does distance to target matter?","0"
768,1537,1538,"Which acoustic bass guitar is the best?","How do you go about maintaining an acoustic bass guitar?","0"
769,1539,1540,"Which universities in the US offer more management content in the management information systems curriculum?","Which universities in the US offer a more technical content in the management information systems curriculum?","0"
770,1541,1542,"My maths have become extremely weak and I am in class 12th. How can I improve my maths so that I can clear my JEE exams next year?","I want to do a BBA. I only got 62% in class 12 (non maths). I am taking 1 year drop for the entrance exam of Symbiosis, GGSIPU, etc. Should I also give an improvement next year?","0"
771,1543,1544,"What is a ""function"" in the context of functional programming?","What is functional programming?","0"
772,1545,1546,"What is the main difference between socialism and communism.?","What is the difference between socialism, marxism, and communism?","1"
773,1547,1548,"How do I change my Facebook password?","How can I log in Facebook without password?","1"
774,1549,1550,"How is the word 'valiant' used in a sentence?","How is the word 'contorted' used in a sentence?","0"
775,1551,1552,"Why I feel dizzy when I am playing some 3D games but others do not make me feel like this? Are there any tricks in developing 3D games to avoid this?","3D Rad: How can I make a mission-based game?","0"
776,1553,1554,"How do payroll companies make money?","How companies make money?","0"
777,1555,1556,"What are the most underrated and overrated movies you've seen?","What are the most overrated movies?","0"
778,1557,1558,"For what use cases do you think deep learning and neural networks overkill and simpler models work better in practice?","In deep Q learning, how we update the weight in neural network?","0"
779,1559,1560,"Which one to learn, C++ or C#?","Which should I learn first: C++ or C#?","1"
780,1561,1562,"Will a Fitbit accurately track my activity if I am riding a bike?","What is the most accurate wearable item for activity  on the market today (i.e. Jawbone or Fitbit)?","0"
781,1563,1564,"What is the best evidence for a historical Jesus?","What is the evidence for and against the existence of the historical Jesus?","1"
782,1565,1566,"Which free online language classes would allow me to go from 0 to fluent in Portuguese given their provided courses of study?","Suggest me some free online courses that provides certificates?","0"
783,1567,1568,"How do the PM and Prez get women?","I worked for 1month and absconded from accenture within bond period will they take any legal action?will it effect when joining other company?","0"
784,1569,1570,"What are some of the best part-time jobs where you can work from home and make some good cash?","What are some of the best paid part time jobs that can be done from home?","1"
785,1571,1572,"Does Trump have a chance at winning presidency?","Is there a big chance that Trump will win the election?","1"
786,1573,1574,"What if I shift my job from e-commerce to cloud computing?","What computer science courses should I take If I want to join a product based or e-commerce company?","0"
787,1575,1576,"How can I meet Suresh Raina?","How do i meet suresh raina?","1"
788,1577,1578,"What is the name of the song in which picturized on Madhuri Dixit and Ranbir Kapoor and is from which movie?","What is the name of the song in which Salman Khan teases Madhuri Dixit by using a slingshot and is from which movie?","0"
789,1579,1580,"What is the function of nucleoplasm in a plant cell?","What is the function of centrosomes in plant cells?","0"
790,1581,1582,"Can fossil records be used as evidence for evolution? If so, how?","What are some examples of evidence of evolution that fossil records provide?","1"
791,1583,1584,"What is the Hizmet movement?","What is the Gülen movement?","1"
792,1585,1586,"Could CAT exam and MAT exam take place on same day (4th December 2016)?","Is it necessary to learn vedic maths and spending time on short tricks for cat 2016 exam?","0"
793,1587,1588,"What mythical creatures are in the Bible?","What do mythical creatures eat?","0"
794,1589,1590,"Which one is good: oral, anal, or vaginal sex?","We had consensual sex, then he forced me into having anal sex. If I press charges, will the fact that I consented to sex vaginally ruin my case?","0"
795,1591,1592,"What are the winter weather conditions like in Cincinnati, OH?","What is the weather like during winter in Tel Aviv?","0"
796,1593,1594,"What stocks are the best to invest in right now?","What are the best stocks to invest for long term right now?","1"
797,1595,1596,"How do we improve reading skills of children?","How do I improve my reading skill?","0"
798,1597,1598,"What should I do if someone has posted a porn video under my name?","What should I do if someone has posted porn video under my name?","1"
799,1599,1600,"Do you lose nutrients & calories when you have diarrhea?","Will eating 2,000 calories a day make me lose weight?","0"
800,1601,1602,"What are the safety precautions on handling shotguns proposed by the NRA in Alaska?","What are the safety precautions on handling shotguns proposed by the NRA in Arizona?","1"
801,1603,1604,"What is the benefit of going Walking every morning?","Bollywood industry doesn't encourage outsiders? For ex outsiders may get one or at max two chances whereas star kids get multiple chances to perform?","0"
